Epoch 068 | Train Loss: 292.6768 | Val Loss: 209.6477 | Val MAE: 13.2484
Epoch 069 | Train Loss: 259.3231 | Val Loss: 257.3644 | Val MAE: 14.5719
Epoch 070 | Train Loss: 267.6660 | Val Loss: 201.2047 | Val MAE: 11.5666
Epoch 071 | Train Loss: 403.3498 | Val Loss: 162.8076 | Val MAE: 10.7181
Epoch 072 | Train Loss: 325.6095 | Val Loss: 183.7920 | Val MAE: 12.1473
Epoch 073 | Train Loss: 281.0287 | Val Loss: 215.6647 | Val MAE: 13.8542
Epoch 074 | Train Loss: 326.6819 | Val Loss: 196.8762 | Val MAE: 13.0200
Epoch 075 | Train Loss: 237.6372 | Val Loss: 225.9579 | Val MAE: 13.7488
Epoch 076 | Train Loss: 209.2704 | Val Loss: 196.1113 | Val MAE: 12.6154
Epoch 077 | Train Loss: 201.5397 | Val Loss: 198.9141 | Val MAE: 12.6499
Epoch 078 | Train Loss: 173.3325 | Val Loss: 256.7391 | Val MAE: 14.2741
Epoch 079 | Train Loss: 164.6102 | Val Loss: 218.8478 | Val MAE: 13.1277
Epoch 080 | Train Loss: 156.8457 | Val Loss: 207.8245 | Val MAE: 12.4203
Epoch 081 | Train Loss: 150.4747 | Val Loss: 258.3434 | Val MAE: 13.4893
Epoch 082 | Train Loss: 131.4694 | Val Loss: 231.8002 | Val MAE: 12.6631
Epoch 083 | Train Loss: 131.0526 | Val Loss: 249.1018 | Val MAE: 13.2988
Epoch 084 | Train Loss: 124.7524 | Val Loss: 290.9339 | Val MAE: 14.4004
Epoch 085 | Train Loss: 107.4991 | Val Loss: 239.4925 | Val MAE: 13.0928
Epoch 086 | Train Loss: 96.9652 | Val Loss: 290.2696 | Val MAE: 14.1557
Epoch 087 | Train Loss: 97.5308 | Val Loss: 262.8533 | Val MAE: 13.4536
Epoch 088 | Train Loss: 97.4748 | Val Loss: 269.5513 | Val MAE: 13.0952
Epoch 089 | Train Loss: 89.6834 | Val Loss: 298.0075 | Val MAE: 13.5768
Epoch 090 | Train Loss: 82.1110 | Val Loss: 263.5356 | Val MAE: 12.5984
Epoch 091 | Train Loss: 88.5560 | Val Loss: 300.7855 | Val MAE: 13.7110
Epoch 092 | Train Loss: 76.6697 | Val Loss: 313.4431 | Val MAE: 14.3978
Epoch 093 | Train Loss: 73.5466 | Val Loss: 310.7010 | Val MAE: 14.3348
Epoch 094 | Train Loss: 72.6270 | Val Loss: 319.9780 | Val MAE: 13.7762
Epoch 095 | Train Loss: 82.5753 | Val Loss: 332.1808 | Val MAE: 14.1341
Epoch 096 | Train Loss: 78.8222 | Val Loss: 320.3106 | Val MAE: 14.0825
Epoch 097 | Train Loss: 68.8583 | Val Loss: 347.3509 | Val MAE: 15.4128
Epoch 098 | Train Loss: 73.0305 | Val Loss: 334.1658 | Val MAE: 15.8100
Epoch 099 | Train Loss: 72.0215 | Val Loss: 385.7842 | Val MAE: 15.9107
Epoch 100 | Train Loss: 60.9592 | Val Loss: 330.0887 | Val MAE: 14.3366
Epoch 101 | Train Loss: 59.5580 | Val Loss: 344.8786 | Val MAE: 13.9845
Epoch 102 | Train Loss: 56.8020 | Val Loss: 340.5570 | Val MAE: 14.2141
Epoch 103 | Train Loss: 55.2968 | Val Loss: 339.2519 | Val MAE: 14.7524
Epoch 104 | Train Loss: 59.2791 | Val Loss: 370.6579 | Val MAE: 15.4048
Epoch 105 | Train Loss: 50.3339 | Val Loss: 343.6333 | Val MAE: 14.9335
Epoch 106 | Train Loss: 48.2531 | Val Loss: 366.5052 | Val MAE: 14.6728
Epoch 107 | Train Loss: 53.7564 | Val Loss: 347.9097 | Val MAE: 14.4493
Epoch 108 | Train Loss: 48.3437 | Val Loss: 377.6484 | Val MAE: 14.6194
Epoch 109 | Train Loss: 63.3203 | Val Loss: 355.5955 | Val MAE: 14.6905
Epoch 110 | Train Loss: 47.7569 | Val Loss: 373.7306 | Val MAE: 14.7711
Epoch 111 | Train Loss: 45.6641 | Val Loss: 368.8453 | Val MAE: 14.6997
Epoch 112 | Train Loss: 42.8172 | Val Loss: 369.1417 | Val MAE: 14.8263
Epoch 113 | Train Loss: 41.2420 | Val Loss: 378.6173 | Val MAE: 14.8040
Epoch 114 | Train Loss: 40.4741 | Val Loss: 372.7957 | Val MAE: 14.8005
Epoch 115 | Train Loss: 39.1995 | Val Loss: 389.4402 | Val MAE: 14.9235
Epoch 116 | Train Loss: 39.6306 | Val Loss: 364.3026 | Val MAE: 14.4456
Epoch 117 | Train Loss: 41.2427 | Val Loss: 400.5772 | Val MAE: 14.9702
Epoch 118 | Train Loss: 42.5422 | Val Loss: 372.0975 | Val MAE: 14.3937
Epoch 119 | Train Loss: 38.1214 | Val Loss: 384.6129 | Val MAE: 14.7093
Epoch 120 | Train Loss: 36.8675 | Val Loss: 391.6772 | Val MAE: 14.9574
Epoch 121 | Train Loss: 36.9401 | Val Loss: 402.9961 | Val MAE: 14.9338
Epoch 122 | Train Loss: 42.6495 | Val Loss: 390.1754 | Val MAE: 14.8990
Epoch 123 | Train Loss: 37.7083 | Val Loss: 408.8397 | Val MAE: 15.0087
Epoch 124 | Train Loss: 46.7609 | Val Loss: 350.3635 | Val MAE: 14.3466
Epoch 125 | Train Loss: 45.5132 | Val Loss: 403.7342 | Val MAE: 15.0194
Epoch 126 | Train Loss: 46.8943 | Val Loss: 350.0081 | Val MAE: 14.3677
Epoch 127 | Train Loss: 58.6325 | Val Loss: 414.6512 | Val MAE: 15.3679
Epoch 128 | Train Loss: 54.8433 | Val Loss: 376.8542 | Val MAE: 14.6508
Epoch 129 | Train Loss: 52.2841 | Val Loss: 367.7380 | Val MAE: 14.7814
Epoch 130 | Train Loss: 40.1427 | Val Loss: 415.1444 | Val MAE: 15.5962
Epoch 131 | Train Loss: 51.5218 | Val Loss: 368.8101 | Val MAE: 14.6684
Epoch 132 | Train Loss: 43.6439 | Val Loss: 442.6611 | Val MAE: 15.4687
Epoch 133 | Train Loss: 68.9159 | Val Loss: 472.8871 | Val MAE: 17.1732
Epoch 134 | Train Loss: 173.5928 | Val Loss: 253.6021 | Val MAE: 13.0484
Epoch 135 | Train Loss: 276.0712 | Val Loss: 211.7743 | Val MAE: 12.5671
Epoch 136 | Train Loss: 181.7982 | Val Loss: 305.5463 | Val MAE: 13.9886
Epoch 137 | Train Loss: 131.8166 | Val Loss: 257.4645 | Val MAE: 12.5928
Epoch 138 | Train Loss: 96.2534 | Val Loss: 283.8054 | Val MAE: 12.8751
Epoch 139 | Train Loss: 79.7988 | Val Loss: 306.8362 | Val MAE: 13.1874
Epoch 140 | Train Loss: 70.8759 | Val Loss: 283.1810 | Val MAE: 11.9115
Epoch 141 | Train Loss: 58.3705 | Val Loss: 302.0296 | Val MAE: 12.5749
Epoch 142 | Train Loss: 57.5694 | Val Loss: 271.9653 | Val MAE: 12.3105
Epoch 143 | Train Loss: 66.0115 | Val Loss: 338.2146 | Val MAE: 14.4653
Epoch 144 | Train Loss: 54.4809 | Val Loss: 308.0233 | Val MAE: 13.0602
Epoch 145 | Train Loss: 49.9738 | Val Loss: 301.4173 | Val MAE: 12.6895
Epoch 146 | Train Loss: 47.7711 | Val Loss: 346.7466 | Val MAE: 13.6615
Epoch 147 | Train Loss: 39.9262 | Val Loss: 342.6185 | Val MAE: 13.7244
Epoch 148 | Train Loss: 39.1866 | Val Loss: 346.2426 | Val MAE: 13.8547
Epoch 149 | Train Loss: 39.1183 | Val Loss: 329.4464 | Val MAE: 13.4998
Epoch 150 | Train Loss: 35.8937 | Val Loss: 343.6229 | Val MAE: 13.8857
Epoch 151 | Train Loss: 34.9540 | Val Loss: 350.5868 | Val MAE: 14.0603
Epoch 152 | Train Loss: 33.8525 | Val Loss: 345.3599 | Val MAE: 13.8503
Epoch 153 | Train Loss: 33.7543 | Val Loss: 350.7937 | Val MAE: 13.8129
Epoch 154 | Train Loss: 32.9776 | Val Loss: 355.9252 | Val MAE: 14.2197
Epoch 155 | Train Loss: 31.6493 | Val Loss: 353.2790 | Val MAE: 14.1774
Epoch 156 | Train Loss: 31.5697 | Val Loss: 348.1527 | Val MAE: 14.0662
Epoch 157 | Train Loss: 30.2683 | Val Loss: 365.8867 | Val MAE: 14.2760
Epoch 158 | Train Loss: 30.3384 | Val Loss: 362.7926 | Val MAE: 14.1246
Epoch 159 | Train Loss: 33.7770 | Val Loss: 363.3768 | Val MAE: 13.8880
Epoch 160 | Train Loss: 32.8804 | Val Loss: 372.5288 | Val MAE: 14.2562
Epoch 161 | Train Loss: 31.3062 | Val Loss: 356.2384 | Val MAE: 14.1138
Epoch 162 | Train Loss: 33.5602 | Val Loss: 384.2153 | Val MAE: 14.4281
Epoch 163 | Train Loss: 28.6983 | Val Loss: 369.9003 | Val MAE: 14.3289
Epoch 164 | Train Loss: 29.4431 | Val Loss: 385.5323 | Val MAE: 14.2415
Epoch 165 | Train Loss: 29.1514 | Val Loss: 362.6652 | Val MAE: 14.1169
Epoch 166 | Train Loss: 29.8683 | Val Loss: 380.3770 | Val MAE: 14.5699
Epoch 167 | Train Loss: 29.1151 | Val Loss: 373.5479 | Val MAE: 14.3056
Epoch 168 | Train Loss: 27.0087 | Val Loss: 384.5304 | Val MAE: 14.3158
Epoch 169 | Train Loss: 27.3872 | Val Loss: 375.0379 | Val MAE: 14.4067
Epoch 170 | Train Loss: 26.7248 | Val Loss: 384.2936 | Val MAE: 14.2990
Epoch 171 | Train Loss: 27.3179 | Val Loss: 373.8804 | Val MAE: 14.3145
Epoch 172 | Train Loss: 25.9138 | Val Loss: 389.1700 | Val MAE: 14.5955
Epoch 173 | Train Loss: 25.6474 | Val Loss: 392.0514 | Val MAE: 14.5633
Epoch 174 | Train Loss: 25.8013 | Val Loss: 389.5887 | Val MAE: 14.6410
Epoch 175 | Train Loss: 25.7206 | Val Loss: 402.9089 | Val MAE: 14.7801
Epoch 176 | Train Loss: 25.1373 | Val Loss: 395.9689 | Val MAE: 14.4805
Epoch 177 | Train Loss: 25.7938 | Val Loss: 401.0125 | Val MAE: 14.2514
Epoch 178 | Train Loss: 25.7907 | Val Loss: 396.7766 | Val MAE: 14.2353
Epoch 179 | Train Loss: 25.1774 | Val Loss: 397.3014 | Val MAE: 14.6689
Epoch 180 | Train Loss: 24.5318 | Val Loss: 409.2127 | Val MAE: 14.6550
Epoch 181 | Train Loss: 24.7243 | Val Loss: 400.4325 | Val MAE: 14.5909
Epoch 182 | Train Loss: 24.6149 | Val Loss: 418.2424 | Val MAE: 14.8167
Epoch 183 | Train Loss: 25.2514 | Val Loss: 399.8921 | Val MAE: 14.4843
Epoch 184 | Train Loss: 24.4451 | Val Loss: 400.2570 | Val MAE: 14.4624
Epoch 185 | Train Loss: 24.3726 | Val Loss: 400.0647 | Val MAE: 14.4765
Epoch 186 | Train Loss: 23.6069 | Val Loss: 410.2750 | Val MAE: 14.5991
Epoch 187 | Train Loss: 24.4350 | Val Loss: 402.6926 | Val MAE: 14.5799
Epoch 188 | Train Loss: 23.8379 | Val Loss: 420.6463 | Val MAE: 15.0860
Epoch 189 | Train Loss: 23.7948 | Val Loss: 424.6403 | Val MAE: 15.1535
Epoch 190 | Train Loss: 24.3080 | Val Loss: 417.2134 | Val MAE: 14.6759
Epoch 191 | Train Loss: 23.7068 | Val Loss: 406.3962 | Val MAE: 14.5852
Epoch 192 | Train Loss: 23.6054 | Val Loss: 418.6966 | Val MAE: 14.6176
Epoch 193 | Train Loss: 23.3382 | Val Loss: 416.4906 | Val MAE: 14.5981
Epoch 194 | Train Loss: 23.7417 | Val Loss: 420.1961 | Val MAE: 14.5696
Epoch 195 | Train Loss: 23.3292 | Val Loss: 418.2241 | Val MAE: 15.0033
Epoch 196 | Train Loss: 25.6721 | Val Loss: 447.7468 | Val MAE: 15.5548
Epoch 197 | Train Loss: 23.3641 | Val Loss: 422.1374 | Val MAE: 15.0247
Epoch 198 | Train Loss: 23.4954 | Val Loss: 424.2044 | Val MAE: 14.7774
Epoch 199 | Train Loss: 23.8477 | Val Loss: 406.0225 | Val MAE: 14.4240
